_source.consumerRating,_score,_source.votes,_source.regularPrice,_source.tastingDescription,_source.availableUnits,_source.certificates,_source.name,_source.style,_source.subCategory.description,_source.alcoholPercentage,_source.sweetness,_source.countryName,lat,lon,country_code02,country_code03
3.8,0.5958729,17,33.99,"""This blend is dry and aromatic, with apricot, citrus and tropical fruit flavours, smoky, herbal and almond notes and nice acidity and minerality. Firm and dry on the palate, it reveals a hint of salinity. It follows an ancient method of winemaking - never sees barrel influence. It is crushed and """"all in"""" clay amphorae vessels.""
",3,[],ALENTEJO BRANCO - HERDADE DE ROCIM AMPHORA 2018,,Portugal Wine,12.0,0.0,Portugal,39.6621648,-8.1353519,PT,PRT
4.0,0.60144746,8,14.99,"A vibrant ruby colour wine with intense notes of red fruit and delicate hints of wood. On the palate, it is smooth and elegant, with prominent tannins. Balanced acidity reveals a long and fresh finish.",1589,[],ALENTEJO TINTO - HERDADE DO PESO SOSSEGO,,Portugal Wine,14.0,0.0,Portugal,39.6621648,-8.1353519,PT,PRT
4.2,0.60144746,51,15.49,"Brilliant pink colour with hues of smoked salmon. Fruity aromas of strawberry and plum. Full, fresh and fruity on the palate with aromatic persistence and good structure and balance. A very food-friendly, Mediterranean-style rose wine. Certified organic and vegan. 
",4,['Organic'],ALICANTE MONASTRELL ROSE - VERMADOR ORGANIC VEGAN,,Spain Wine,13.5,0.0,Spain,39.3260685,-4.8379791,ES,ESP
4.2,0.5958729,120,29.99,"93 Points, James Suckling: ""What a beautiful red with lots of rich, ripe fruit, showing blackberry, walnut, dried,-fruit, fig and black-truffle aromas and flavors. It's full-bodied, layered and chewy but ever so well-crafted and polished. Drinkable now, but better in two years. Try after 2022."" (September 2020)
",924,[],ALLEGRINI - PALAZZO DELLE TORRE IGT 2017,,Italy Wine,12.5,0.0,Italy,42.6384261,12.674297,IT,ITA
3.7,0.60144746,469,17.99,"90 Points, James Suckling: Blackberries, brambleberries, coconut, potpourri and dried herbs on the nose. Medium-to full-bodied with fine, dry tannins and wild, herbal character. 70% garnacha tintorera and 30% monastrell. Vegan. Drink now. (October 2021)
",1399,[],ALMANSA - LAYA,,Spain Wine,14.0,0.0,Spain,39.3260685,-4.8379791,ES,ESP
2.9,0.5958729,196,15.99,"Full, concentrated, rich wild berry fruit on the palate with finely balanced vanilla undertones, and well integrated tannins, great depth with a persistent finish. Enjoy it with grilled pork or smokies.
",2231,[],ALMANSA RESERVA - PIQUERAS CASTILLO DE ALMANSA,,Spain Wine,14.0,0.0,Spain,39.3260685,-4.8379791,ES,ESP
5.0,0.60144746,1,56.99,"91 Points, Vinous: ""Luminous straw-gold. Varietally accurate aromas and flavors of smoke, grilled pork, white pepper and tropical fruit, but this has a lemony zing that gives a graceful mouthfeel despite a hint of chewy tannins at the back. The finish is long and ripe."" (September 2017)
",147,[],ALSACE GEWURZTRAMINER - FE TRIMBACH RESERVE,,France Wine,14.5,0.0,France,46.603354,1.8883335,FR,FRA
5.0,0.60144746,8,46.99,"Biodynamic. On the nose, classic varietal notes of lychee combine with north African spices like cardamom, coriander and clove. The palate is drier than the nose would indicate, very spicy but supremely fresh, precise, a style which typifies the Josmeyer estate and the elegance and freshness makes it superb with food.
",115,[],ALSACE GEWURZTRAMINER - JOSMEYER FOLATRIES,,France Wine,13.5,0.0,France,46.603354,1.8883335,FR,FRA
4.1,0.5958729,103,23.49,"92 Points, Natalie Maclean:  ""Love, love, love this dry Fino!  So much elegance and finesse. Toasted almond and a briny ocean note. Pair with roasted nuts and hard cheeses."" Dec 2019
",918,[],ALVEAR - FINO,,Fortified Wine,15.0,0.0,Spain,39.3260685,-4.8379791,ES,ESP
4.0,0.5958729,107,23.49,"92 Ponts, Natalie Maclean:  ""Superb Amontillado that features clementine and tangerine notes on the nose and palate then finishes almost dry with pleasant burnt almond note. Lovely!""  Dec 2019
",1212,[],ALVEAR - MEDIUM DRY,,Fortified Wine,17.0,3.0,Spain,39.3260685,-4.8379791,ES,ESP
4.5,0.5958729,108,33.99,"98 Points, Wine Advocate - ""The NV Pedro Ximenez Solera 1927 is non-vintage, but does have some 1927 material in it. This is totally dark brown/amber with notes of figs, toffee, caramel syrup, molasses and coffee. It is dense, super sweet, intense, rich and an amazingly, unctuously textured, thick beverage to consume slowly and introspectively after a meal. Drink now through 2050, or even longer."" (November 2015)
",283,[],ALVEAR - PEDRO XIMENEZ SOLERA 1927,,Fortified Wine,16.0,10.0,Spain,39.3260685,-4.8379791,ES,ESP
4.1,0.60144746,242,50.99,"90 Points, Vinous: ""Peppery herbal tones and florals lift from the glass as the 2016 Amarone della Valpolicella slowly blows off a bit of reduction to show notes of wild strawberry. It's a pure and lifted expression, featuring rose-tinged red fruits and minerals coasting along a core of brisk acids. This finishes clean with a perfumed display of wild berries and hints of licorice. Drinking Window: 2021 - 2032."" (February 2021)
",944,[],AMARONE - MONTRESOR 2016,,Italy Wine,15.0,0.0,Italy,42.6384261,12.674297,IT,ITA
2.6,0.5958729,86,69.99,"To make this special wine, Corvina, Corvinone, Rondinella and Oseleta grapes are dried in a well-ventilated loft. The grapes lose 35% of their weight and become very concentrated in flavours and sugars. They are then fermented to dryness, making a full-bodied, ripe and complex Amarone. The Musella is an ideal wine to warm your guests on a cold night. Try with Gorgonzola cheese.
",118,[],AMARONE - MUSELLA 2015,,Italy Wine,15.5,0.0,Italy,42.6384261,12.674297,IT,ITA
4.6,0.60144746,94,145.99,"93 Points, Wine Advocate: ""This is a genuine and direct interpretation of a classic wine that demonstrates the love and dedication that local vintners have for this tradition here in the home of Romeo and Juliette. The 2013 Amarone della Valpolicella manages to show power and determination without too many bells or whistles. It is an accessible and faithful expression that passes on sweet notes of barbecue along with a kiss of sweet tobacco. The blend is 30% Corvina, 30% Corvinone, 30% Rondinella with a 10% mix of Rossignola, Oseleta, Negrara and Dindarella, and it ages in large oak casks for up to 50 long months. Drink Date: 2019 - 2028."" (August 2019)
",72,[],AMARONE - TEDESCHI 2013,,Italy Wine,16.0,0.0,Italy,42.6384261,12.674297,IT,ITA
4.5,0.60144746,375,64.99,"Intense and delicious. Notes of blackberries, blackcurrants, blueberries, coffee, licorice, smoky and herbal hints in a wonderful complex palate, with soft tannins and lingering, layered finish.
",1282,[],AMARONE - TEDESCHI 2017,,Italy Wine,16.0,0.0,Italy,42.6384261,12.674297,IT,ITA
3.5,0.5958729,115,99.99,"95 Points, Vinous: ""There's a dark, mineral-driven complexity to the 2016 Amarone della Valpolicella Classico that keeps you coming back to the glass over and over again. Sometimes it's licorice, sometimes blackberry or maraschino cherry, but always backed by a mix of autumnal spice, sour citrus and hints of animal musk that intrigue the senses. Velvety-smooth and almost creamy in weight, as sweet red fruits flesh out, taking on nuances of violet candies and cloves toward the close. This is pure elegance, dense yet balanced, and delivering a layer of fine tannins that linger long, as hints of bitter coffee and dark chocolate slowly fade. Drinking Window: 2023 - 2036."" (February 2021)
",220,[],AMARONE CLASSICO - ALLEGRINI 2016,,Italy Wine,16.0,0.0,Italy,42.6384261,12.674297,IT,ITA
3.1,0.60144746,160,46.99,"Amazing value here! This full-bodied wine displays elegant complexity and incredible balance! Velvety tannins hold together a bouquet of black cherry, stewed plum, thyme and minty aromas, that lead to dark chocolate ganache and dried fruit flavours. A great wine to serve along with ripe and aged cheese, risottos, braised or roasted meats or a wild mushroom ravioli.
",855,[],AMARONE CLASSICO - CANTINA DI NEGRAR 2017,,Italy Wine,15.5,1.0,Italy,42.6384261,12.674297,IT,ITA
4.0,0.60144746,16,329.99,"95 Points, Wine Advocate: ""The 1990 Amarone della Valpolicella Classico drives home an important point about the longevity of Amarone. More than any other producer, Masi has been striving to demonstrate that wines made with the appassimento process can live long cellar lives. This example is stunning. This beautiful Amarone opens to a dark garnet appearance and integrated tones of dried cherry, spice and Spanish cedar. The tannins are super smooth at this point and appear to be at the height of their silkiness. Drink Date: 2015 - 2025."" (December 2014)
",5,[],AMARONE CLASSICO - MASI COLLEZIONE GRANDE ANNATA 1990,,Italy Wine,15.0,0.0,Italy,42.6384261,12.674297,IT,ITA
3.6,0.60144746,246,59.99,"95 Points James Suckling, ""This opens beautifully to reveal violets, blueberries, licorice, citrus, oyster shell and orange rind. So velvety and polished, but with real depth and structure. Medium-to full-bodied with delightful fruit and a long finish. Drink in 2021 but already so satisfying."" (March 2020). Organic and suitable for vegetarians and vegans.
",2929,[],AMARONE CLASSICO - MASI COSTASERA 2016 VEGAN,,Italy Wine,15.5,0.0,Italy,42.6384261,12.674297,IT,ITA
3.6,0.60144746,186,57.99,"95 Points, James Suckling: “A layered and rich red with plenty of dried orange peel and plum character. So tight and focused. Full body, ultra-fine tannins and a beautiful finish. Drink now or hold.” (October 2017)
",1070,[],AMARONE CLASSICO - MONTE DEL FRA LENA DI MEZZO 2013,,Italy Wine,15.0,0.0,Italy,42.6384261,12.674297,IT,ITA
3.8,0.60144746,10,76.99,"91 Points, Vinous: ""Musky aromas of cherry, menthol, licorice and herbs. Seamless and energetic, with vibrant acidity keeping the flavors under wraps today but also extending them on the long fresh finish. Firm, dusty but noble tannins call for patience. This wine is called Corte Vaona in reference to the ancient paved courtyard (or cone, in Italian) located before the estate's main house, which has been owned by the Vaona family since the mid-18th century. Drinking Window: 2021 - 2028."" (May 2017)
",37,[],AMARONE CLASSICO - NOVAIA CORTE VAONA 2012,,Italy Wine,15.5,0.0,Italy,42.6384261,12.674297,IT,ITA
3.6,0.60144746,353,64.99,"93 Points, James Suckling: ""Intense, bright red berries with some dates and spicy, meaty notes. Full-bodied with a tight but forward-driven palate, spurred along by clean acidity and firm, fine tannins."" (August 2021)
",2384,[],AMARONE CLASSICO - TOMMASI,,Italy Wine,15.0,0.0,Italy,42.6384261,12.674297,IT,ITA
3.7,0.60144746,48,79.99,"95 Points, James Suckling: ""Aromas of smoke and wet earth with coffee beans and pumice to the ripe fruit. Full-bodied, linear and layered with lots of ripe fruit and hints of raisins. Lightly chewy with a tannin backbone. Extremely long and powerful. Blue and black fruit. Very complex. Drinkable now, but better in 2022.""
",240,[],AMARONE CLASSICO RISERVA - MASI COSTASERA 2013,,Italy Wine,15.5,0.0,Italy,42.6384261,12.674297,IT,ITA
4.0,0.60144746,5,455.99,"94 points, James Sucking: ""A decadent Amarone that displays treacle tart, vanilla, dried plums, hot stones, Christmas cake, figs and tarte tatin. Full-bodied and very rich indeed, lots of alcohol and dried fruit that remain in check, thanks to some linear acidity and firmness. Drink in 2023."" (June 2019) 
",7,[],AMARONE CLASSICO RISERVA FIERAMONTE - ALLEGRINI,,Italy Wine,16.5,1.0,Italy,42.6384261,12.674297,IT,ITA
5.0,0.5958729,3,129.99,"94 Points, James Suckling: ""Lots of dried fruit, sultanas, chocolate and licorice in the nose. It's full-bodied with solid, rich tannins and a lovely balance of dried fruit, figs and subtle hazelnuts. Flavorful finish. Very nicely done. Drink or hold."" (September 2020)
",103,[],AMARONE DELLA VALPOLICELLA - CESARI BOSAN 2011,,Italy Wine,15.5,,Italy,42.6384261,12.674297,IT,ITA
4.7,0.5958729,28,33.99,"90 Points, International Wine & Spirits Competition: ""Unctuously rich umami fragrance of truffle on the nose balanced by the sweetness of strawberries. Chased by a rich palate balanced with some stewed red fruits and smooth tannins."" (2022)
",235,[],AMYNDEON XINOMAVRO - KIR-YIANNI KALI RIZA,,Greece Wine,13.5,0.0,Greece,38.9953683,21.9877132,GR,GRC
3.0,0.60144746,56,8.99,False,2058,[],ANDRES - MEDIUM DRY,,Fortified Wine,22.0,6.0,Canada,61.0666922,-107.991707,CA,CAN
2.4,0.60144746,35,27.99,Fresh and aromatic with peach and melon scents. Full and generous on the palate with plenty of flesh and substance plus flavours of nectarine and a refreshing citrus finish.,470,['Organic'],ANJOU - CHATEAU DE SURONDE ORGANIC 2018,,France Wine,12.0,0.0,France,46.603354,1.8883335,FR,FRA
2.3,0.60144746,3,32.99,"90 Points, Wine Spectator: ""An engaging white, with creamy apple, ginger, dried floral and peach notes, backed by a refreshing acidity that is integrated and vibrant.""
",371,[],ANJOU CHENIN BLANC - CHATEAU DE LA ROULERIE 2019,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
4.1,0.60144746,779,19.99,"Notes of rose petals and acacia mingle with sweet aromas of creamed honey, fresh pears, apricot and yellow apples. It offers plenty of juicy fruit and sweet citrus flavours.
",3626,['Organic'],ANNA SPINATO - PROSECCO BRUT ORGANIC & VEGAN,,Italy Wine,11.0,0.0,Italy,42.6384261,12.674297,IT,ITA
4.2,0.60144746,364,19.99,"With gentle suggestions of crushed rose petals, raspberries and berry compote, this dry, restrained sparkling rosé is full of finesse.
",2556,['Organic'],ANNA SPINATO - PROSECCO ROSE ORGANIC & VEGAN,,Italy Wine,11.5,0.0,Italy,42.6384261,12.674297,IT,ITA
5.0,0.60144746,1,84.99,"Complex flavours of bright cherry, cooked strawberry, raspberry, violets and various spicy and peppery nuances. Aged notes of forest floor.
",1,[],ARBOIS - DOMAINE ROLET MEMORIAL 2009,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
5.0,0.60144746,1,84.99,"91 Points, Wine & Spirits Magazine: ""A wild and funky white, this is more Comté than Chardonnay. There's some fresh golden-apple flavor at its center, surrounded by chalkiness and scents of cheese rind. Ornate and oxidative, this wine's intensity and elasticity make it compelling."" (April 2018)",5,[],ARBOIS BLANC - DOMAINE ROLET 2013,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
5.0,0.5958729,2,84.99,"92 Points, Richard Jennings: ""Savory, tasty, oxidative, walnut, almond palate with medium acidity; long finish.""
",6,[],ARBOIS BLANC - DOMAINE ROLET TRADITION 2009,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
5.0,0.5958729,3,85.99,"Ready for tasting for all occasions, this Chardonnay will delight lovers of mature wines. The praise of time has made it a bottle of harmony, combining finesse, freshness and aromatic subtleties. Enjoy with grilled fish, shellfish, quiches and gratins.
",5,[],ARBOIS BLANC CHARDONNAY - DOMAINE ROLET 2011,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
4.5,0.5958729,87,29.99,"91 Points, Gismondi on Wine: ""Salted plum, blueberry, summer strawberry and wild cherry stream through the medium-bodied palate, surprisingly juicy, silken sided, and sophisticated. The finish licks licorice, lipstick, and mineral salts, and at a subtle 13 degrees, encourages another glass."" (March 2020)
",331,[],ARBOIS TROUSSEAU - DOMAINE ROLET 2016,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
4.0,0.5958729,119,24.99,"This solid white has wafts of honeycomb, crisp Bosc pears, lemon citrus and toasted spices that tickle the nose. The palate is creamy and nicely balanced with mouth-watering acidity and a hint of oak. The finish lingers on notes of vanilla, butter, citrus and spice.
",1007,[],ARDECHE CHARDONNAY - LOUIS LATOUR,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
3.9,0.5958729,188,14.99,"If you’re a fan of silky Northern Rhône Syrahs like Saint-Joseph and Crozes-Hermitage, this deliciously affordable wine is for you. This wine has lots of characteristic Northern Rhône black pepper spice and savoury complexity, but it actually comes from vineyards just outside Saint-Joseph, hence the great price.
",1529,[],ARDECHE SYRAH - SAINT DESIRAT,,France Wine,12.0,0.0,France,46.603354,1.8883335,FR,FRA
3.5,0.5958729,71,12.97,"Deep red with violet hues. This assemblage reveals a smooth entrance on the mouth, round tannins, delicious aromas of dark fruits in harmony with spices and a long finish.",123,[],ARGENTINA RED - CORAL,,Argentina Wine,13.0,1.0,Argentina,-34.9964963,-64.9672817,AR,ARG
4.3,0.5958729,171,29.99,"95 points, James Suckling: ""This is a rich, dense red with blackberry and blueberry aromas and flavors. Extremely well-crafted tannins. Hints of vanilla to the ripe fruit at the end. Incredible value. A blend of 55% cabernet sauvignon, 30% malbec and 15% cabernet franc.
",2003,[],ARGENTINA RED - MASCOTA UNANIME MENDOZA UCO VALLEY 2017,,Argentina Wine,14.5,0.0,Argentina,-34.9964963,-64.9672817,AR,ARG
3.9,0.60144746,77,6.97,"Amenni wines are to be enjoyed young and all the time with all kinds of menu. Slightly sweet yet crisp, the taste of red berries and a fruitiness gives this great linger. A good sipper or try with pasta salads, grilled chicken or roast of ham.",4,[],ARGENTINA ROSE - AMENNI,,Argentina Wine,11.7,1.0,Argentina,-34.9964963,-64.9672817,AR,ARG
3.6,0.5958729,82,6.97,"Very aromatic, this combination of Chardonnay and Torrontes offers a lot of citrus flavour and fruitiness to enjoy. Try with everyday menus, grilled fare, pasta dishes and seafood.
",24,[],ARGENTINA WHITE - AMENNI,,Argentina Wine,11.7,1.0,Argentina,-34.9964963,-64.9672817,AR,ARG
3.7,0.5958729,17,35.97,"90 Points, Wine Enthusiast: ""Production continues to climb on this widely available well-priced Oregon sparkling wine. A tawny straw color, it's vibrant and fresh, with yeasty dough accents around pear fruit. The balance and concentration suggest it may be cellared for up to a decade, but it's drinking quite well right now."" (April 2018)
",35,[],ARGYLE - VINTAGE BRUT 2014,,USA Wine,12.5,1.0,USA,39.7837304,-100.445882,US,USA
3.8,0.5958729,6,820.0,"93 Points, Wine Advocate: ""Tasted from magnum, the NV Brut (Gold) opens with lovely matured brioche, toast and ripe fruit flavors. Fresh, pure and elegant on the palate, with beautifully matured flavors and an elegant creaminess I don't find in the other cuvées, the ""Gold"" is a blend of 40% Pinot Noir, 40% Chardonnay and 20% Pinot Meunier as well as the vintages of 2009, 2010 and 2012. The wine reveals good grip and mineral tension and drinks well as an aperitif or with seafood and fish. Drink Date: 2018 - 2030."" (June 2018)
",14,[],ARMAND DE BRIGNAC - BRUT,,France Wine,12.5,0.0,France,46.603354,1.8883335,FR,FRA
3.8,0.5958729,10,2700.0,"93 Points, Wine Advocate: ""Tasted from magnum, the NV Brut (Gold) opens with lovely matured brioche, toast and ripe fruit flavors. Fresh, pure and elegant on the palate, with beautifully matured flavors and an elegant creaminess I don't find in the other cuvées, the ""Gold"" is a blend of 40% Pinot Noir, 40% Chardonnay and 20% Pinot Meunier as well as the vintages of 2009, 2010 and 2012. The wine reveals good grip and mineral tension and drinks well as an aperitif or with seafood and fish. Drink Date: 2018 - 2030."" (June 2018)
",4,[],ARMAND DE BRIGNAC - BRUT GOLD WOODEN BOX,,France Wine,12.5,0.0,France,46.603354,1.8883335,FR,FRA
4.0,0.60144746,263,369.99,"93 Points, Wine Advocate - ""The NV Brut (Gold) opens with lovely matured brioche, toast and ripe fruit flavors. Fresh, pure and elegant on the palate, with beautifully matured flavors and an elegant creaminess. The wine reveals good grip and mineral tension. Drink: 2018 - 2030."" (June 2018)
",128,[],ARMAND DE BRIGNAC - BRUT LIMITED EDITION GOLD,,France Wine,12.5,1.0,France,46.603354,1.8883335,FR,FRA
4.1,0.60144746,16,560.0,"90 Points, Wine Advocate: ""The Armand de Brignac NV Brut Rosé is an intense salmon colored blend of 50% Pinot Noir, 40% Pinot Meunier and 10% Chardonnay sourced in the Montage de Reims, Côte des Blancs and Valée de la Marne and comprises the vintages of 2009, 2010 and 2012. The bouquet is intensely fruity yet clear, fine and well-defined. Full-bodied, round, vinous and elegant on the palate, this cuvée reveals a grippy mineral freshness and lingering structure. Persistent finish. Powerful yet pure. The cooler the better. Drink Date: 2018 - 2025."" (June 2018)
",238,[],ARMAND DE BRIGNAC - ROSE,,France Wine,12.5,0.0,France,46.603354,1.8883335,FR,FRA
4.1,0.5958729,81,37.99,"Yuzu wine’s aroma and flavour offer a rare and complex blend of lime, lemon, grapefruit and mandarin orange with tangy acidity that is perfect for seafood or served as a desert wine.
",292,[],ASAHARA - SHIN PREMIUM YUZU WINE,,Sake,8.0,10.0,Japan,36.5748441,139.2394179,JP,JPN
3.6,0.60144746,54,19.99,"Astoria Prosecco Rosé is made up of 85% Glera and 15% Pinot Noir, and has aromas of red fruit and flowers, followed by flavours of bright cherries and hints of strawberry, and finishes creamy.
",817,[],ASTORIA - EXTRA DRY PROSECCO ROSE,,Italy Wine,11.0,1.0,Italy,42.6384261,12.674297,IT,ITA
4.5,0.60144746,46,129.99,"This 100% Chardonnay is made under spontaneous fermentation on natural yeasts. This Champagne is light green-gold, with fine, persistent mousse. On the nose and palate are notes of apple blossom, yellow apple, pear, and pineapple. Light bodied with elegant entry and moderate mid-palate acidity. Great with shellfish or as an aperitif. No added sulphites.
",16,[],AUGUSTIN - CUVEE CXVI BLANC DE BLANCS,,France Wine,12.0,0.0,France,46.603354,1.8883335,FR,FRA
3.6,0.60144746,57,18.99,"This wine pays homage to Australia's ""Rum Rebellion"" and thus a portion has been aged for 30 days in rum barrels. Dark with jammy flavours and a smoky finish.
",957,[],AUSTRALIA RED - 19 CRIMES THE UPRISING,,Australia Wine,14.0,0.0,Australia,-24.7761086,134.755,AU,AUS
4.0,0.60144746,434,11.99,"A delicious blend of red grape varieties; rich ripe blackcurrant and spice, delivering a long, satisfying finish.
",9438,[],AUSTRALIA RED - MCGUIGAN BLACK LABEL,,Australia Wine,12.0,0.0,Australia,-24.7761086,134.755,AU,AUS
3.9,0.5958729,116,15.99,"Bright, deep purple red in colour with aromas of boysenberry and cherry jam. Forest fruit jam, vanilla with subtle oak, a hint of chocolate and a velvety, smooth finish.
",1923,[],AUSTRALIAN RED - ANGOVE HOPES END,,Australia Wine,13.5,2.0,Australia,-24.7761086,134.755,AU,AUS
3.6,0.60144746,203,13.99,"Made from a blend of Shiraz, Cabernet Sauvignon, and other red varietals, [yellow tail] Jammy Red Roo is sweet and vibrant, with notes of juicy red berries, vanilla and chocolate. Enjoy with your favourite BBQ dishes or in your favourite Sangria or cocktail recipe.
",2659,[],AUSTRALIAN RED - YELLOW TAIL JAMMY RED ROO,,Australia Wine,12.0,1.0,Australia,-24.7761086,134.755,AU,AUS
2.0,0.60144746,3,57.99,"Vinous: ""The 2019 Auxey-Duresses Village has a gentle bouquet with blackcurrant, raspberry and light sous-bois aromas. The palate is medium-bodied with blackberry and raspberry. This has a lovely texture, harmonious though not deep, with a touch of white pepper on the lilting finish. Drinking Window: 2023 - 2030."" (December 2019)
",29,[],AUXEY DURESSES 1ER - DOM TAUPENOT MERME,,France Wine,13.5,0.0,France,46.603354,1.8883335,FR,FRA
5.0,0.60144746,5,44.99,"90 Points, Wine Enthusiast: ""Ayala, based in Aÿ in the heart of Champagne, has been transformed since Bollinger bought it in 2005 and this nonvintage proves it. This is a balanced blend of 40% Chardonnay, 40% Pinot Noir and 20% Pinot Meunier. The result is crisp while not too dry, and therefore drinkable as an apéritif. Apple and bright citrus combine with green plums to give a fruity wine that is also structured. The cellarmaster continues to reduce the dosage (sugar) so there is a crisp, tight aftertaste."" (December 2014)
",157,[],AYALA - BRUT MAJEUR,,France Wine,12.0,1.0,France,46.603354,1.8883335,FR,FRA
4.3,0.60144746,12,119.97,"94 Points, Wine Advocate: ""A new cuvée for Ayala that was disgorged in July 2019, the 2007 Brut No. 7 derives from fruit sourced in seven grands crus—Chouilly, Oger, Cramant, Le Mesnil-sur-Oger, Avize, Aÿ and Verzy—and saw tirage under cork. Offering up aromas of lemon oil, dried white flowers, walnuts and fresh bread, it's full-bodied, vinous and incisive, with a pillowy mousse, racy acids and a long, mineral finish. Drink Date: 2020 - 2037."" (April 2020)
",5,[],AYALA - CHAMPAGNE NO.7 BRUT,,France Wine,12.0,1.0,France,46.603354,1.8883335,FR,FRA
4.3,0.5958729,19,76.99,"91 Points, James Suckling: ""Fresh and creamy Brut with lemon pith, apples, almonds, oats and hints of honey. Medium bubbles with a biscuity palate and a linear, focused finish. Chardonnay, Pinot Noir and Pinot Meunier."" (June 2022)
",103,[],AYALA - MAJEUR BRUT,,France Wine,12.0,1.0,France,46.603354,1.8883335,FR,FRA
